Код_товара,Название_позиции,Поисковые_запросы,Описание,Тип_товара,Цена,Цена от,Ярлык,HTML_заголовок,HTML_описание,HTML_ключевые_слова,Валюта,Скидка,Cрок действия скидки от,Cрок действия скидки до,Единица_измерения,Минимальный_объем_заказа,Оптовая_цена,Минимальный_заказ_опт,Ссылка_изображения,Наличие,Количество,Производитель,Страна_производитель,Номер_группы,Адрес_подраздела,Возможность_поставки,Срок_поставки,Способ_упаковки,Личные_заметки,Продукт_на_сайте,Идентификатор_товара,Уникальный_идентификатор,Идентификатор_подраздела,Идентификатор_группы,Подарки,Сопутствующие,ID_группы_разновидностей,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики
175376,Магистральный фильтр Ecosoft FK4872CE2,,,r,467165,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-fk4872ce2-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-fk4872ce2,175376,,,9003,,,,,,,"Гарантия, мес.",,36,Оснащение и функции,,автоматическая промывка / электронное управление промывкой,Назначение,,для водопровода / для скважины,Эффективная очистка,,от железа / от солей жесткости (умягчение воды) / от органических примесей / от аммония / от марганца,Возможность регенерации,,многоразовый-промывка раствором,"Аммоний, мг/л",,4,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,2,"Жесткость, мг-экв/л",,15,"Объем загрузки, л.",,1100,"Перманганатная окисляемость, мг О2/л",,20,Подходит,,для холодной воды,"Потребляемая мощность, Вт",,30,"Продолжительность регенерации, мин.",,90-120,"Производительность, м³/ч",,24,Производство,,Украина,"Рабочая температура воды, °C",,4-30,"Рабочее давление, атм",,2-6,"Расход воды на одну регенерацию, м³",,11,Расход соли на одну регенерацию,,110 / 176,"Ресурс, м³ (при жорскості 5 мг-экв/л)",,154,"Содержание железа, мг/л",,15,"Содержание марганца, мг/л",,3,Тип,,колонна,"Требуемый уровень очистки от механических примесей, мкм",,100,Фильтрующий элемент,,ECOMIX A (Украина),Электропитание,,230,"Высота, мм",,2800,"Ширина, мм",,2250,"Глубина, мм",,1250,"Вес, кг",,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175184,Фильтр для закрытой системы BWT SOLUTECH CLARIF. FILTER 10/20 DN 50 P0069209,,,r,51824,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-solutech-clarif-filter-1020-dn-50-p0069209-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-solutech-clarif-filter-1020-dn-50-p0069209,175184,,,9003,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142251,Магистральный фильтр Ecosoft FK0835CABDVMIXA,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-umyagcheniya-ecosoft-fk-0835-cabdv-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-fk-0835-cabdv,142251,,,9003,,,,,,,"Гарантия, мес.",,12,Оснащение и функции,,электронное управление промывкой,Назначение,,для водопровода / для скважины,Эффективная очистка,,от солей жесткости (умягчение воды),Возможность регенерации,,многоразовый-промывка раствором,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,1,"Объем загрузки, л.",,25,Подходит,,для холодной воды,Производство,,Украина,"Рабочая температура воды, °C",,4 / 30,"Рабочее давление, атм",,1.50 / 6,"Расход воды на одну регенерацию, м³",,0.15,Расход соли на одну регенерацию,,1.8,Тип,,колонна,Электропитание,,230,"Высота без бака, мм",,225,"Глубина без бака, мм",,440,Ширина без бака,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175423,Магистральный фильтр Ecosoft FU4272CE2,,,r,295757,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-fu4272ce2-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-fu4272ce2,175423,,,9003,,,,,,,"Гарантия, мес.",,36,Оснащение и функции,,автоматическая промывка / электронное управление промывкой,Назначение,,для водопровода / для скважины,Эффективная очистка,,от солей жесткости (умягчение воды),Возможность регенерации,,многоразовый-промывка раствором,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,2,"Жесткость, мг-экв/л",,15,"Объем загрузки, л.",,900,"Перманганатная окисляемость, мг О2/л",,5,Подходит,,для холодной воды,"Потребляемая мощность, Вт",,30,"Продолжительность регенерации, мин.",,90-120,"Производительность, м³/ч",,20,Производство,,Украина,"Рабочая температура воды, °C",,4-30,"Рабочее давление, атм",,2-6,"Расход воды на одну регенерацию, м³",,9,Расход соли на одну регенерацию,,90 / 136,"Ресурс, м³ (при жорскості 5 мг-экв/л)",,180,"Содержание железа, мг/л",,0.2,"Содержание марганца, мг/л",,0.05,Тип,,колонна,"Требуемый уровень очистки от механических примесей, мкм",,100,Фильтрующий элемент,,DOWEX (США),Электропитание,,230,"Высота, мм",,2800,"Ширина, мм",,2100,"Глубина, мм",,1100,"Вес, кг",,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142313,Магистральный фильтр BWT Aquadial Softlife 10,,,r,22594,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-umyagcheniya-bwt-aquadial-softlife-10-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-aquadial-softlife-10,142313,,,9003,,,,,,,"Гарантия, мес.",,12,Оснащение и функции,,электронное управление промывкой,"Производительность, л/день",,1,Назначение,,для водопровода / для скважины,Эффективная очистка,,от солей жесткости (умягчение воды),Возможность регенерации,,многоразовый-промывка раствором,Бренд,,BWT,"Диаметр подключения, дюймов",,1,"Кол-во человек, живущих в доме",,от 2 до 3,"Объем загрузки, л.",,10,Подходит,,для холодной воды,Производство,,Австрия,"Рабочая температура воды, °C",,4 / 30,"Рабочее давление, атм",,1.40 / 6,"Расход воды на одну регенерацию, м³",,0.07,Расход соли на одну регенерацию,,1.2,Тип,,кабинет,Фильтрующий элемент,,DOWEX (США),Электропитание,,230,"Вес, кг",,40,"Высота без бака, мм",,532,"Глубина без бака, мм",,480,Ширина без бака,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149466,Магистральный фильтр BWT AQA PERLA 30 SE,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-aqa-perla-30-se-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-aqa-perla-30-se,149466,,,9003,,,,,,,"Гарантия, мес.",,12,Оснащение и функции,,электронное управление промывкой,"Производительность, л/день",,1.6,Назначение,,для водопровода / для скважины,Эффективная очистка,,от солей жесткости (умягчение воды),Возможность регенерации,,многоразовый-промывка раствором,Бренд,,BWT,"Диаметр подключения, дюймов",,1,Кол-во точек забора воды,,кухня + 2 ванных (санузла),"Кол-во человек, живущих в доме",,от 3 до 5,"Объем загрузки, л.",,30,Подходит,,для холодной воды,Производство,,Австрия,"Рабочая температура воды, °C",,4 / 45,"Рабочее давление, атм",,1.40 / 6,Расход соли на одну регенерацию,,3,Тип,,кабинет,Фильтрующий элемент,,DOWEX (США),Электропитание,,230,"Высота, мм",,1110,"Ширина, мм",,500,"Глубина, мм",,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175395,Магистральный фильтр Ecosoft FPA1354CT,,,r,24999,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-fpa1354ct-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-fpa1354ct,175395,,,9003,,,,,,,"Гарантия, мес.",,36,Оснащение и функции,,автоматическая промывка / электронное управление промывкой,Назначение,,для водопровода / для скважины,Эффективная очистка,,от хлора / от хлорорганических соединений / от органических примесей / от улучшения органолептики,Возможность регенерации,,многоразовый-промывка водой,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,1,Кол-во точек забора воды,,кухня + 2 ванных (санузла),"Кол-во человек, живущих в доме",,от 3 до 4,"Количество кварцевого песка (подложки), кг.",,50,Подходит,,для холодной воды,"Потребляемая мощность, Вт",,30,Преимущества,,компактные габариты,"Продолжительность регенерации, мин.",,15-30,"Производительность после фильтров ECOSOFT FK или FU, м³/ч",,2.1,"Производительность, м³/ч",,1,Производство,,Украина,"Рабочая температура воды, °C",,4-30,"Рабочее давление, атм",,2-6,"Расход воды на одну регенерацию, м³",,1,Тип,,колонна,"Требуемый уровень очистки от механических примесей, мкм",,100,Фильтрующий элемент,,FILTRASORB 300,Электропитание,,230,"Высота, мм",,1590,"Ширина, мм",,340,"Глубина, мм",,340,"Вес, кг",,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149437,Магистральный фильтр BWT 10OZ,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-10oz-750x750.jpg,Снято с производства,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-10oz,149437,,,9003,,,,,,,"Гарантия, мес.",,12,Бренд,,BWT,Производство,,Австрия,"Рабочее давление, атм",,1.40 / 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149688,Магистральный фильтр Ecosoft FU1465CE,,,r,38399,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-fu1465ce-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-fu1465ce,149688,,,9003,,,,,,,"Гарантия, мес.",,12,Оснащение и функции,,электронное управление промывкой / автоматическая промывка,"Производительность, л/день",,4,Назначение,,для водопровода / для скважины,Эффективная очистка,,от солей жесткости (умягчение воды),Возможность регенерации,,многоразовый-промывка раствором,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,1,"Объем загрузки, л.",,100,Подходит,,для холодной воды,Производство,,Украина,"Рабочая температура воды, °C",,4 / 45,"Рабочее давление, атм",,1.40 / 6,"Расход воды на одну регенерацию, м³",,1,Расход соли на одну регенерацию,,10,Тип,,колонна,Фильтрующий элемент,,DOWEX (США),Электропитание,,230,"Высота, мм",,1900,"Ширина, мм",,850,"Глубина, мм",,500,"Вес, кг",,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175408,Магистральный фильтр Ecosoft FPC1665CT,,,r,42299,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-fpc1665ct-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-fpc1665ct,175408,,,9003,,,,,,,"Гарантия, мес.",,36,Оснащение и функции,,автоматическая промывка / электронное управление промывкой,Назначение,,для водопровода / для скважины,Эффективная очистка,,от сероводорода,Возможность регенерации,,многоразовый-промывка водой,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,1,Кол-во точек забора воды,,5 и больше точек,"Кол-во человек, живущих в доме",,от 6 до 8,"Количество кварцевого песка (подложки), кг.",,60,Подходит,,для холодной воды,"Потребляемая мощность, Вт",,30,"Продолжительность регенерации, мин.",,15-30,"Производительность после фильтров ECOSOFT FK или FU, м³/ч",,3.12,"Производительность, м³/ч",,1.56,Производство,,Украина,"Рабочая температура воды, °C",,4-30,"Рабочее давление, атм",,2-6,"Расход воды на одну регенерацию, м³",,1.5,Тип,,колонна,"Требуемый уровень очистки от механических примесей, мкм",,100,Фильтрующий элемент,,Centaur (Бельгия),Электропитание,,230,"Высота, мм",,1860,"Ширина, мм",,420,"Глубина, мм",,420,"Вес, кг",,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175527,Магистральный фильтр Ecosoft для смягчения воды FU0835CABCE,,"<section class=""description"" id=""description"" itemprop=""description"">
<h2>Описание <span class=""heading_product_h2"">Ecosoft для смягчения воды FU0835CABCE</span></h2>
<blockquote>Приятная мягкая вода + полная автоматизация работы фильтра</blockquote>
<p>Жесткая вода – та еще проблема. Из-за нее на окнах и стеклах постоянно появляются разводы. Из-за нее на сантехнике образуется белый налет. Из-за нее в чайнике появляется осадок. А еще она плохо сказывается на нашем здоровье. Раздражительная кожа и сухость волос – это тоже из-за жесткой воды.</p>
<p>Впрочем, избавиться от нее и всех побочных эффектов очень просто. Достаточно лишь купить Ecosoft для смягчения воды FU0835CABCE. Это фильтр-умягчитель, разработанный как раз для умягчения воды. Он имеет целый ряд преимуществ, за счет которых и считается одним из лучших решений на рынке.</p>
<blockquote>Любопытный факт: Ecosoft – ЕДИНСТВЕННАЯ компания в Украине, у которой налажен полный цикл производства. Она сама изготавливает свою продукцию, контролируя ее качество на каждом этапе. И она сама устанавливает цены на свои товары. Поэтому модели Экософт и отличаются таким привлекательным для покупателей соотношением по качеству и стоимости.</blockquote>
<h3>Основные достоинства модели Ecosoft для смягчения воды FU0835CABCE</h3>
<img alt=""Основные достоинства модели Ecosoft для смягчения воды FU0835CABCE"" src=""/image/catalog/opus/ecosoft-dlya-pomyakshennya-vodi-fu0835cabce-opus1.jpg""/>
<p>Основной фишкой этой модели является эффективный фильтрующий материал. В качестве загрузки производитель Экософт использовал ионообменную смолу HCR-S/S (катионит производства Dow, Dowex™). Именно она и нормализует уровень жесткости воды, заменяя соли жесткости на ионы натрия.</p>
<blockquote>Dow Chemical – ведущая американская компания, безоговорочный лидер на мировом рынке. Выпускает фильтрующие материалы, которым нет равных ни по качеству, ни по эффективности. Поэтому ее продукцией пользуются практически все производители фильтров по всему миру. Включая и украинскую компанию Экософт.</blockquote>
<p>После установки фильтра-умягчителя вы сразу же заметите множество изменений:</p>
<ul>
<li>на сантехнике больше не будет белого налета;</li>
<li>стиральная машина, котел, водонагреватель и прочая техника будут работать эффективнее и дольше;</li>
<li>расход моющих средств снизится на 50%;</li>
<li>одежда и белье не так быстро будут терять первоначальный цвет при стирке;</li>
<li>исчезнет раздражение кожи и сухость волос;</li>
<li>купание больше не будет вызывать никакого дискомфорта.</li>
</ul>
<p>Второе преимущество фильтра – полная автоматизация работы. То есть, работает он в автономном режиме, самостоятельно регулируя все процессы. Когда ресурс ионообменной смолы будет исчерпан, фильтр сам перейдет в режим регенерации. Но только в тот момент, когда потребление воды минимальное.</p>
<p>Происходит регенерация в 4 стадии:</p>
<ol>
<li>Промывка фильтра обратным потоком воды. Это помогает распушить фильтрующий материал и вымыть из него механические примеси.</li>
<li>Подача раствора соли из бака в корпус фильтра. Он проходит через смолу, вымывая соли жесткости. Затем остаток раствора смывается в канализацию.</li>
<li>Промывка смолы прямым потоком воды. Выполняется для вымывания остатков раствора соли.</li>
<li>Заполнение солевого бака водой. Таблетированная соль растворяется, и раствор подготавливается к следующей регенерации. Затем фильтр снова становится пригодным для очистки воды.</li>
</ol>
<p>Также данная модель умеет запоминать интенсивность потребления воды. В итоге она адаптируется так, чтобы вода была в оптимальном количестве даже в пиковые моменты потребления. К примеру, на выходных, когда все дома.</p>
<img alt=""Преимущество фильтра для смягчения воды FU0835CABCE"" src=""/image/catalog/opus/ecosoft-dlya-pomyakshennya-vodi-fu0835cabce-opus2.jpg""/>
<p>Среди других достоинств фильтра можно отметить:</p>
<ul>
<li>минимальные затраты на электроэнергию;</li>
<li>экономный расход соли;</li>
<li>бесшумность;</li>
<li>компактность.</li>
</ul>
<p>Ионообменная смола сохраняет свою эффективность в течение 5 лет (при соблюдении простых правил эксплуатации). И все это время вы даже не будете вспоминать о проблеме жесткой воды.</p>
<p>Еще одно преимущество данного фильтра – качество. Мнения о Ecosoft для смягчения воды FU0835CABCE подтверждают: в этом плане придраться просто не к чему. Судите сами:</p>
<ul>
<li>фильтр изготавливается на современном австрийском оборудовании;</li>
<li>все комплектующие поставляются ведущими мировыми брендами;</li>
<li>при производстве фильтра используется только первичный пищевой материал – полипропилен (бисфенол отсутствует!);</li>
<li>по своему составу фильтр соответствует Директиве ЕС «Предметы, используемые для контакта с продуктами питания» и совершенно безопасен для здоровья.</li>
</ul>
<blockquote>У компании Ecosoft есть подтверждающие сертификаты качества ЕС и США. Как ни странно, но ни один другой украинский производитель фильтров добиться таких же успехов не смог.</blockquote>
<h3>Для кого подойдет модель Ecosoft для смягчения воды FU0835CABCE?</h3>
<img alt=""Для кого подойдет модель Ecosoft для смягчения воды FU0835CABCE?"" src=""/image/catalog/opus/ecosoft-dlya-pomyakshennya-vodi-fu0835cabce-opus3.jpg""/>
<p>Данная модель предназначена для квартир с 1-2 санузлами. Умягчает воду для бытовых и хозяйственных нужд.</p>
<p>По производительности она подойдет для семьи из 2-3 человек. А до состояния питьевой воду можно доочищать с помощью обратноосмотической системы.</p>
<h3>Из чего состоит фильтр-умягчитель?</h3>
<ol>
<li>Баллон (колонна) с фильтрующей загрузкой.</li>
<li>Бак для хранения таблетированной соли и приготовления раствора для регенерации фильтрующей загрузки.</li>
<li>Управляющий клапан (установлен в верхней части колонны).</li>
</ol>
<p>Корпус фильтра выполнен из композиционного полимерного материала. Так что коррозия ему не страшна.</p>
<h3>Что входит в комплект?</h3>
<ol>
<li>Компактный корпус фильтра.</li>
<li>Многофункциональный управляющий клапан Clack WS1 CE (США).</li>
<li>Ионообменная смола Dowex (Dow Chemical, США).</li>
</ol>
<h3>Какую воду может умягчать фильтр?</h3>
<img alt=""Какую воду может умягчать фильтр?"" src=""/image/catalog/opus/ecosoft-dlya-pomyakshennya-vodi-fu0835cabce-opus5.jpg""/>
<h3>Обслуживание</h3>
<p>Благодаря клапану постоянно следить за фильтром не нужно. Все, что от вас требуется – своевременно засыпать соль. Этого достаточно, чтобы сохранить эффективность работы фильтра и качество очистки воды.</p>
<p>Если же в процессе эксплуатации возникнут какие-либо проблемы – на дисплее клапана появится соответствующее текстовое сообщение. Там же будут указаны контакты сервисцентра, куда можно обратиться для устранения неполадок.</p>
<h3>Покупайте лучшее!</h3>
<p>Знаете, какие отзывы оставляют нынешние владельцы данного фильтра? Они отмечают, что это практически идеальное решение для умягчения воды: эффективное, удобное, компактное. Места занимает мало, а воду чистит на пять с плюсом. После установки этого фильтра купаться станет намного приятнее, накипь в чайнике исчезнет, ровно как и налет на сантехнике и разводы на стеклах. Кроме того, работает фильтр в автоматическом режиме, и следить за ним не надо. Достаточно лишь раз в месяц засыпать соль, что делается предельно просто.</p>
<p>Так что если хотите обзавестись надежным фильтром-умягчителем – берите модель Ecosoft для смягчения воды FU0835CABCE, не ошибетесь! Заказать его можно в нашем интернет-магазине, ведь мы являемся официальным представителем компании Экософт и предлагаем:</p>
<ul>
<li>отсутствие наценки (цена Ecosoft для смягчения воды FU0835CABCE такая же, как на сайте производителя);</li>
<li>бесплатную доставку в любой город Украины;</li>
<li>профессиональную установку фильтра (только по Киеву);</li>
<li>помощь в сервисном обслуживании (только по Киеву).</li>
</ul>
<p>У вас остались вопросы касаемо данной модели? Тогда проконсультируйтесь с нашими экспертами по телефону. Они предоставят вам исчерпывающую информацию по фильтру и ответят на все ваши вопросы.</p> </section>",r,26699,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-dlya-pomyakshennya-vodi-fu0835cabce-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-dlya-pomyakshennya-vodi-fu0835cabce,175527,,,9003,,,,,,,"Гарантия, мес.",,36,Оснащение и функции,,автоматическая промывка / электронное управление промывкой,Назначение,,для водопровода / для скважины,Эффективная очистка,,от солей жесткости (умягчение воды),Возможность регенерации,,многоразовый-промывка раствором,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,1,"Жесткость, мг-экв/л",,15,Кол-во точек забора воды,,кухня + 2 ванных (санузла),"Кол-во человек, живущих в доме",,от 2 до 3,"Объем загрузки, л.",,18,"Перманганатная окисляемость, мг О2/л",,5,Подходит,,для холодной воды,"Потребляемая мощность, Вт",,30,Преимущества,,компактные габариты / расход соли до 3 раз ниже конкурентов / управляющий клапан Clack WS1 СЕ (США),"Продолжительность регенерации, мин.",,80-110,"Производительность, м³/ч",,1.3,Производство,,Украина,"Рабочая температура воды, °C",,4-30,"Рабочее давление, атм",,2-6,"Расход воды на одну регенерацию, м³",,0.18,Расход соли на одну регенерацию,,1.8 / 2.8,"Ресурс, м³ (при жорскості 5 мг-экв/л)",,3.6,"Содержание железа, мг/л",,0.2,"Содержание марганца, мг/л",,0.05,Тип,,кабинет,"Требуемый уровень очистки от механических примесей, мкм",,100,Фильтрующий элемент,,DOWEX (США),Электропитание,,230,"Высота, мм",,1130,"Ширина, мм",,350,"Глубина, мм",,520,"Вес, кг",,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149488,Магистральный фильтр BWT AQUADIAL Multi K20,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-aquadial-multi-k20-750x750.jpg,Снято с производства,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-aquadial-multi-k20,149488,,,9003,,,,,,,"Гарантия, мес.",,12,Оснащение и функции,,электронное управление промывкой / экономия соли / автоматическая промывка,"Производительность, л/день",,1.3,Назначение,,для водопровода / для скважины,Эффективная очистка,,комплексная очистка воды,Возможность регенерации,,многоразовый-промывка раствором,Бренд,,BWT,"Диаметр подключения, дюймов",,1,Кол-во точек забора воды,,кухня + ванная (санузел),"Кол-во человек, живущих в доме",,от 3 до 5,"Объем загрузки, л.",,20,Подходит,,для холодной воды,Производство,,Австрия,"Рабочая температура воды, °C",,4 / 45,Расход соли на одну регенерацию,,2,Тип,,кабинет,Фильтрующий элемент,,DOWEX (США),Электропитание,,230,"Высота, мм",,804,"Ширина, мм",,270,"Глубина, мм",,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142103,Магистральный фильтр Ecosoft Ecomix FK-3672 CE 2,,,r,268569,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-komplekcnoj-ochistki-ecosoft-ecomix-fk-3672-ce-2-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-ecomix-fk-3672-ce-2,142103,,,9003,,,,,,,"Гарантия, мес.",,36,Оснащение и функции,,электронное управление промывкой,"Производительность, л/день",,18,Назначение,,для водопровода / для скважины,Эффективная очистка,,комплексная очистка воды,Возможность регенерации,,многоразовый-промывка раствором,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,2,Кол-во точек забора воды,,5 и больше точек,"Кол-во человек, живущих в доме",,от 5 до 8,"Объем загрузки, л.",,650,Подходит,,для холодной воды,Производство,,Украина,"Рабочая температура воды, °C",,4 / 30,"Рабочее давление, атм",,1.50 / 6,"Расход воды на одну регенерацию, м³",,6.5,Расход соли на одну регенерацию,,78,Тип,,колонна,"Тонкость очистки, мкм",,100,Фильтрующий элемент,,Ecomix (Украина),Электропитание,,230,"Высота без бака, мм",,2568,"Глубина без бака, мм",,938,Ширина без бака,,938,"Высота бака, мм",,1300,"Глубина бака, мм",,762,Ширина бака,,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
